Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
Meta Platforms Inc,2017-01-11 15:10:34,WASHPO,FB.OQ,"israel says hamas hacked facebook accounts, cellphones of army recruits",NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,FB,OQ,2017-01-11
Meta Platforms Inc,2017-09-12 13:02:19,XINHUN,FB.OQ,hackers delete lithuanian defense minister's facebook account,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,FB,OQ,2017-09-12
Meta Platforms Inc,2018-03-16 23:48:07,BUSINT,FB.OQ,"Facebook suspends Cambridge Analytica, a controversial data-analysis firm linked to the Trump campaign (FB) - Business Insider",NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,30303M10,Data-breach,1.0,,,,,,,,,,FB,OQ,2018-03-16
Meta Platforms Inc,2019-01-22 05:45:12,ASNEWS,FB.O,srk's son aryan's facebook hacked,unknown,Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,FB,O,2019-01-22
Meta Platforms Inc,2019-03-21 10:52:27,RTRS,FB.O,Facebook says issues fixed after finding user passwords in readable format,unknown,Technology,30303M10,Data-breach,1.0,,,,,,,,,,FB,O,2019-03-21
Meta Platforms Inc,2019-03-26 22:06:02,THEGRD,FB.O,"morning mail: brexit offer for may to quit, facebook hacking, mumbai's flamingos",unknown,Technology,30303M10,Data-breach,1.0,,,,,,,,,,FB,O,2019-03-26
Meta Platforms Inc,2019-08-28 15:22:18,WASHPO,FB.O,facebook logs 90 million people out of their accounts after security breach,unknown,Technology,30303M10,Data-breach,1.0,,,,,,,,,,FB,O,2019-08-28
Meta Platforms Inc,2021-03-04 01:17:00,CASGEN,FB.O,"hackers broke into kyrgyz leader's facebook account, left comments allegedly on his behalf",unknown,Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,FB,O,2021-03-04
Meta Platforms Inc,2021-09-27 05:01:23,ITARTA,FB.O,"former afghan leaders facebook, where he called for talibans recognition, hacked",unknown,Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,FB,O,2021-09-27
Meta Platforms Inc,2022-07-07 13:09:09,RTRS,META.O,"Disneyland's Instagram account hacked with a series of profane, racist posts",unknown,Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,META,O,2022-07-07
Meta Platforms Inc,2023-08-18 07:08:21,WATREG,META.O,hackers exploit facebook ad accounts,unknown,Technology,30303M10,Facebook-account-hack,,,,,,,,1.0,,,META,O,2023-08-18
Microsoft Corp,2013-02-21 19:00:00,RTRS,MSFT.O,Microsoft says small number of its computers hacked,unknown,Technology,59491810,Malware,,1.0,,,,,,,,,MSFT,O,2013-02-21
Microsoft Corp,2013-07-08 20:00:00,RTRS,MSFT.O,Microsoft reports hackings linked to report by Google researcher,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2013-07-08
Microsoft Corp,2014-02-13 20:30:11,RTRS,MSFT.O,Hackers used previously unknown Internet Explorer flaw in new attacks,unknown,Technology,59491810,Code-vulnerability,,1.0,,,,,,,,,MSFT,O,2014-02-13
